Display	Link	X2013	X2014	X2015	X2016	X2017	X2018
Boston College	bostoncollege	ACC	ACC	ACC	ACC	ACC	ACC
Clemson	clemson	ACC	ACC	ACC	ACC	ACC	ACC
Duke	duke	ACC	ACC	ACC	ACC	ACC	ACC
Florida St.	floridast	ACC	ACC	ACC	ACC	ACC	ACC
Georgia Tech	georgiatech	ACC	ACC	ACC	ACC	ACC	ACC
Louisville	louisville	Big East	American	ACC	ACC	ACC	ACC
Miami (FL)	miamifl	ACC	ACC	ACC	ACC	ACC	ACC
North Carolina	northcarolina	ACC	ACC	ACC	ACC	ACC	ACC
North Carolina St.	northcarolinast	ACC	ACC	ACC	ACC	ACC	ACC
Notre Dame	notredame	Big East	ACC	ACC	ACC	ACC	ACC
Pittsburgh	pittsburgh	Big East	ACC	ACC	ACC	ACC	ACC
Syracuse	syracuse	Big East	ACC	ACC	ACC	ACC	ACC
Virginia	virginia	ACC	ACC	ACC	ACC	ACC	ACC
Virginia Tech	virginiatech	ACC	ACC	ACC	ACC	ACC	ACC
Wake Forest	wakeforest	ACC	ACC	ACC	ACC	ACC	ACC
Butler	butler	Other	Big East	Big East	Big East	Big East	Big East
Creighton	creighton	Other	Big East	Big East	Big East	Big East	Big East
DePaul	depaul	Big East	Big East	Big East	Big East	Big East	Big East
Georgetown	georgetown	Big East	Big East	Big East	Big East	Big East	Big East
Marquette	marquette	Big East	Big East	Big East	Big East	Big East	Big East
Providence	providence	Big East	Big East	Big East	Big East	Big East	Big East
Seton Hall	setonhall	Big East	Big East	Big East	Big East	Big East	Big East
St. John's	stjohns	Big East	Big East	Big East	Big East	Big East	Big East
Villanova	villanova	Big East	Big East	Big East	Big East	Big East	Big East
Xavier	xavier	Other	Big East	Big East	Big East	Big East	Big East
Baylor	baylor	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
Iowa State	iowast	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
Kansas	kansas	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
Kansas State	kansasst	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
Oklahoma	oklahoma	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
Oklahoma State	oklahomast	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
TCU	tcu	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
Texas	texas	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
Texas Tech	texastech	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
West Virginia	westvirginia	Big 12	Big 12	Big 12	Big 12	Big 12	Big 12
